Rank,Warning,Description,Src File,Line,Comment,Status,Owner,Priority,Keywords
61,9,freeing pointer in middle of memory block 'listEntry',dsmmain.c,1164,,,tristang,,kernel;
70,15,leaking resource 'instanceKey',utils.c,8288,,,tristang,,kernel;
70,14,"leaking memory 'DsmpBuildTargetPortGroupEntry(DsmContext, Group, targetPortGroupsInfoIndex, bytesLeft, &descriptorSize)'",dsmmain.c,647,,,tristang,,kernel;
92,11,dereferencing NULL pointer 'cdb',dsmmain.c,10055,,,tristang,,kernel;
93,11,dereferencing NULL pointer 'cdb',dsmmain.c,11103,,,tristang,,kernel;
93,11,dereferencing NULL pointer 'cdb',dsmmain.c,11530,,,tristang,,kernel;
93,11,dereferencing NULL pointer 'cdb',dsmmain.c,11887,,,tristang,,kernel;
93,11,dereferencing NULL pointer 'cdb',dsmmain.c,12231,,,tristang,,kernel;
93,11,dereferencing NULL pointer 'cdb',dsmmain.c,12593,,,tristang,,kernel;
