Date,                                                    File name,Running time,         Clients,     Result,Z3 time,Waiting time,SIDecisionsTime,Inlining Call trees,,
,                                                   ,           ,                ,           ,4.83,10.13,0.33,3.59, rse-server-12,
,                                                   ,           ,                ,           ,10.09,6.45,0.77,1.14, rse-server-15,
8/30/2018 19:00,                    data\61883_multremovelock_1.bpl,     31.94s,       3 clients,         RB,38.29,19.61,2.91,4.04,,
,                                                   ,           ,                ,           ,14.61,6.64,1,0.44, rse-server-13,
,                                                   ,           ,                ,           ,8.63,10.91,0.88,2.8, rse-server-14,
,                                                   ,           ,                ,           ,15.05,2.06,1.03,0.8, rse-server-12,
8/30/2018 19:00,                    data\61883_multremovelock_1.bpl,     30.25s,       2 clients,         RB,32.65,4.25,2.25,0.69,,
,                                                   ,           ,                ,           ,15.45,3.47,1.05,0.41, rse-server-13,
,                                                   ,           ,                ,           ,17.2,0.78,1.2,0.28, rse-server-14,
8/30/2018 19:02,                    data\61883_multremovelock_1.bpl,     47.13s,       1 clients,         RB,30.47,0.05,2.33,0,,
,                                                   ,           ,                ,           ,30.47,0.05,2.33,0, rse-server-13,
8/30/2018 19:02,        data\1394vdev_pendedcompletedrequest3_0.bpl,     18.43s,       4 clients,        NOK,16.55,0,2,2.92,,
,                                                   ,           ,                ,           ,2.64,0,0.31,1.03, rse-server-13,
,                                                   ,           ,                ,           ,2.78,0,0.3,1.16, rse-server-14,
,                                                   ,           ,                ,           ,3.08,0,0.33,0.73, rse-server-12,
,                                                   ,           ,                ,           ,8.05,0,1.06,0, rse-server-15,
8/30/2018 19:03,        data\1394vdev_pendedcompletedrequest3_0.bpl,     18.88s,       3 clients,        NOK,5.5,0,0.78,1.7,,
,                                                   ,           ,                ,           ,2.89,0,0.36,0.75, rse-server-13,
,                                                   ,           ,                ,           ,2.61,0,0.42,0.95, rse-server-14,
8/30/2018 19:04,        data\1394vdev_pendedcompletedrequest3_0.bpl,     18.24s,       2 clients,        NOK,11.45,0,1.51,0.94,,
,                                                   ,           ,                ,           ,3.39,0,0.38,0.94, rse-server-13,
,                                                   ,           ,                ,           ,8.06,0,1.13,0, rse-server-14,
8/30/2018 19:04,        data\1394vdev_pendedcompletedrequest3_0.bpl,     17.58s,       1 clients,        NOK,7.94,0,1.13,0,,
,                                                   ,           ,                ,           ,7.94,0,1.13,0, rse-server-13,
8/30/2018 19:08,        data\61883_forwardedatbadirqlallocate_1.bpl,    138.08s,       1 clients,         RB,103.07,0.03,7.5,0,,
,                                                   ,           ,                ,           ,103.07,0.03,7.5,0, rse-server-13,
8/30/2018 19:11,        data\61883_forwardedatbadirqlallocate_1.bpl,    119.41s,       2 clients,         RB,123.65,41.99,9.66,27.99,,
,                                                   ,           ,                ,           ,50.11,28.61,3.72,20.22, rse-server-13,
,                                                   ,           ,                ,           ,73.54,13.38,5.94,7.77, rse-server-14,
8/30/2018 19:13,        data\61883_forwardedatbadirqlallocate_1.bpl,    120.83s,       3 clients,         RB,132.97,121.07,11.41,51.52,,
,                                                   ,           ,                ,           ,43.64,32.36,2.78,28.08, rse-server-13,
,                                                   ,           ,                ,           ,45.05,39,5.55,15.91, rse-server-14,
,                                                   ,           ,                ,           ,44.28,49.71,3.08,7.53, rse-server-12,
8/30/2018 19:16,        data\61883_forwardedatbadirqlallocate_1.bpl,    100.41s,       4 clients,         RB,135.52,154.14,10.67,49.74,,
,                                                   ,           ,                ,           ,23.16,45.43,0.86,19.88, rse-server-13,
,                                                   ,           ,                ,           ,46.57,21.92,4.55,14.74, rse-server-14,
,                                                   ,           ,                ,           ,25.91,49.04,1.59,11.2, rse-server-12,
,                                                   ,           ,                ,           ,39.88,37.75,3.67,3.92, rse-server-15,
8/30/2018 19:17,                 data\daytona_completerequest_2.bpl,     14.05s,       4 clients,         OK,7.35,19.88,0.68,4.36,,
,                                                   ,           ,                ,           ,1.09,5.75,0.03,1.89, rse-server-13,
,                                                   ,           ,                ,           ,0.88,6.09,0.03,1.41, rse-server-14,
,                                                   ,           ,                ,           ,0.52,6.38,0.03,1.06, rse-server-12,
,                                                   ,           ,                ,           ,4.86,1.66,0.59,0, rse-server-15,
8/30/2018 19:18,                 data\daytona_completerequest_2.bpl,     13.41s,       1 clients,        NOK,5.02,0,0.52,0,,
,                                                   ,           ,                ,           ,5.02,0,0.52,0, rse-server-13,
8/30/2018 19:19,                   data\avc_ioallocateforward_1.bpl,     32.92s,       1 clients,         RB,19.14,0.03,2.27,0,,
,                                                   ,           ,                ,           ,19.14,0.03,2.27,0, rse-server-13,
8/30/2018 19:20,                   data\avc_ioallocateforward_1.bpl,     27.33s,       2 clients,         RB,19.97,11.7,2.67,2.47,,
,                                                   ,           ,                ,           ,5.88,10.17,0.94,2.47, rse-server-13,
,                                                   ,           ,                ,           ,14.09,1.53,1.73,0, rse-server-14,
8/30/2018 19:21,                   data\avc_ioallocateforward_1.bpl,     29.99s,       4 clients,         RB,23.05,54.8,2.81,6.07,,
,                                                   ,           ,                ,           ,5.34,12.88,0.86,3.33, rse-server-13,
,                                                   ,           ,                ,           ,13.27,5.06,1.5,0.41, rse-server-14,
,                                                   ,           ,                ,           ,2.16,17.45,0.22,1.06, rse-server-12,
,                                                   ,           ,                ,           ,2.28,19.41,0.23,1.27, rse-server-15,
8/30/2018 19:22,                   data\avc_ioallocateforward_0.bpl,     11.11s,       4 clients,         OK,2.4,12.64,0.32,0.59,,
,                                                   ,           ,                ,           ,0.2,5.69,0.03,0.23, rse-server-13,
,                                                   ,           ,                ,           ,0.61,4.47,0.06,0.36, rse-server-14,
,                                                   ,           ,                ,           ,1.59,2.48,0.23,0, rse-server-15,
8/30/2018 19:22,                   data\avc_ioallocateforward_0.bpl,      8.97s,       2 clients,         RB,2.24,3.06,0.22,0.22,,
,                                                   ,           ,                ,           ,0.19,3.05,0.02,0.22, rse-server-13,
,                                                   ,           ,                ,           ,2.05,0.02,0.2,0, rse-server-14,
8/30/2018 19:23,                   data\avc_ioallocateforward_0.bpl,      9.11s,       1 clients,         RB,2.11,0.05,0.38,0,,
,                                                   ,           ,                ,           ,2.11,0.05,0.38,0, rse-server-13,
8/30/2018 19:32,                  data\cyyport_irpcancelfield_0.bpl,    477.78s,       4 clients,         RB,1230.1,112.57,132.27,209.31,,
,                                                   ,           ,                ,           ,286.29,40.3,36.77,58.55, rse-server-13,
